id,dataset,split,question,prediction,answers,agent,raw_prediction,correct
WebQTest-1198,webqsp,test,who influenced samuel taylor coleridge?,"Samuel Taylor Coleridge was influenced by a wide range of thinkers and writers, most notably:

*   **Philosophers:** Immanuel Kant, Plato, and the German Idealists.
*   **Poets/Literary Figures:** William Wordsworth, John Milton, and the ballad tradition.
*   **Theologians/Mystics:** The works of Jakob Böhme and Neoplatonism.
*   **Contemporary Thinkers:** The chemist and Unitarian Joseph Priestley.","['Giambattista Vico', 'Baruch Spinoza', 'Thomas Browne', 'Friedrich Wilhelm Joseph Schelling', 'Emanuel Swedenborg', 'Immanuel Kant', 'John Milton', 'William Shakespeare', 'Robert Burns', 'Algernon Charles Swinburne']",ToG,"Samuel Taylor Coleridge was influenced by a wide range of thinkers and writers, most notably:

*   **Philosophers:** Immanuel Kant, Plato, and the German Idealists.
*   **Poets/Literary Figures:** William Wordsworth, John Milton, and the ballad tradition.
*   **Theologians/Mystics:** The works of Jakob Böhme and Neoplatonism.
*   **Contemporary Thinkers:** The chemist and Unitarian Joseph Priestley.",True
WebQTest-1092,webqsp,test,who did viggo mortensen play in lord of the rings?,"Viggo Mortensen played Aragorn, the heir to the throne of Gondor.",['Aragorn'],ToG,"Viggo Mortensen played Aragorn, the heir to the throne of Gondor.",True
WebQTest-713,webqsp,test,what county is st. louis park in?,"St. Louis Park is in Hennepin County, Minnesota.",['Hennepin County'],ToG,"St. Louis Park is in Hennepin County, Minnesota.",True
WebQTest-1637,webqsp,test,what are the catholic holy days?,"In the Catholic Church, the **Holy Days of Obligation** are the principal feast days (outside of Sundays) on which the faithful are required to attend Mass.

The universal list from the Code of Canon Law includes:
1. The Nativity of Our Lord Jesus Christ (Christmas) — December 25
2. The Epiphany — January 6
3. The Ascension of the Lord (40 days after Easter)
4. The Body and Blood of Christ (Corpus Christi) — Thursday after Trinity Sunday
5. Mary, Mother of God — January 1
6. The Immaculate Conception — December 8
7. The Assumption of Mary — August 15
8. St. Joseph — March 19
9. The Feast of Saints Peter and Paul — June 29
10. All Saints' Day — November 1

**Important note:** National bishops' conferences can modify this list with Vatican approval. For example, in the United States,","['Feast of St. Margaret of the Árpád House', 'Feast of Our Lady of Hungary', 'Feast of Our Lady of the Rosary', ""Our Lady of Aparecida's day"", 'Father Damien Day', 'Our Lady of Guadalupe Day', 'St. Spiridon Day', ""Saint Nicholas' Eve"", 'Feast of Assumption', ""Euthymius the Great's Feast Day"", 'The Feast of Our Lady of Mount Carmel', ""St. Anthony's Day"", 'Feast of Our Lady of Sorrows', ""St Joseph's Day"", ""Saint Patrick's Day"", 'Maundy Thursday', ""St. Stephen's Day"", 'Corpus Christi', 'Nativity of Mary', 'Olsok', 'Feast of the Immaculate Conception', 'Feast of the Cross', 'Feast of Christ the King', 'Name day', 'Fat Thursday', 'World Day of Peace', 'Palm Sunday', 'Saints Cyril and Methodius Day', 'Solemnity of Mary, Mother of God', 'Feast of Saints Peter and Paul', ""St Crispin's Day"", ""St Casimir's Day"", ""All Saints' Day"", 'Feast of St Francis of Assisi', 'St Nicholas Day']",ToG,"In the Catholic Church, the **Holy Days of Obligation** are the principal feast days (outside of Sundays) on which the faithful are required to attend Mass.

The universal list from the Code of Canon Law includes:
1. The Nativity of Our Lord Jesus Christ (Christmas) — December 25
2. The Epiphany — January 6
3. The Ascension of the Lord (40 days after Easter)
4. The Body and Blood of Christ (Corpus Christi) — Thursday after Trinity Sunday
5. Mary, Mother of God — January 1
6. The Immaculate Conception — December 8
7. The Assumption of Mary — August 15
8. St. Joseph — March 19
9. The Feast of Saints Peter and Paul — June 29
10. All Saints' Day — November 1

**Important note:** National bishops' conferences can modify this list with Vatican approval. For example, in the United States,",True
WebQTest-1241,webqsp,test,where does the columbia river start?,"The Columbia River starts at Columbia Lake in the Rocky Mountain Trench of British Columbia, Canada.",['Columbia Lake'],ToG,"The Columbia River starts at Columbia Lake in the Rocky Mountain Trench of British Columbia, Canada.",True
WebQTest-377,webqsp,test,what school did michael jordan attend?,Michael Jordan attended the University of North Carolina at Chapel Hill.,"['Emsley A. Laney High School', 'University of North Carolina at Chapel Hill']",ToG,Michael Jordan attended the University of North Carolina at Chapel Hill.,True
WebQTest-1488,webqsp,test,what type of art does marc chagall do?,"Marc Chagall is best known for **modernist painting**, blending elements of **Cubism, Symbolism, and Fauvism** with dreamlike, poetic scenes inspired by his Jewish heritage and folklore. His work is often described as **fantasy or surreal**, though he predated the Surrealist movement. He also worked in stained glass, printmaking, and stage sets.","['Modern art', 'Fauvism', 'Surrealism', 'Cubism', 'Expressionism']",ToG,"Marc Chagall is best known for **modernist painting**, blending elements of **Cubism, Symbolism, and Fauvism** with dreamlike, poetic scenes inspired by his Jewish heritage and folklore. His work is often described as **fantasy or surreal**, though he predated the Surrealist movement. He also worked in stained glass, printmaking, and stage sets.",True
WebQTest-383,webqsp,test,what language do chinese people write in?,"Chinese people primarily write in **Standard Chinese**, which uses **Simplified Chinese characters** in mainland China and **Traditional Chinese characters** in Taiwan, Hong Kong, and Macau.","['Nüshu script', 'Simplified Chinese character', 'Traditional Chinese characters', ""'Phags-pa script"", 'Chinese characters']",ToG,"Chinese people primarily write in **Standard Chinese**, which uses **Simplified Chinese characters** in mainland China and **Traditional Chinese characters** in Taiwan, Hong Kong, and Macau.",True
WebQTest-1619,webqsp,test,where do the appalachian mountains run?,"The Appalachian Mountains run along the eastern side of North America, from Newfoundland and Labrador in Canada down to central Alabama in the United States.",['North America'],ToG,"The Appalachian Mountains run along the eastern side of North America, from Newfoundland and Labrador in Canada down to central Alabama in the United States.",True
WebQTest-1508,webqsp,test,when did bill clinton go to college?,"Bill Clinton attended Georgetown University from 1964 to 1968, earning a Bachelor of Science in Foreign Service.","['Yale Law School', 'Edmund A. Walsh School of Foreign Service', 'University of Oxford', 'University Yale', 'Georgetown University', 'University College, Oxford']",ToG,"Bill Clinton attended Georgetown University from 1964 to 1968, earning a Bachelor of Science in Foreign Service.",True
