id,dataset,split,question,prediction,answers,agent,raw_prediction,correct
WebQTest-1198,webqsp,test,who influenced samuel taylor coleridge?,"Samuel Taylor Coleridge was influenced by figures such as Immanuel Kant, William Wordsworth, and the German Idealists.","['Giambattista Vico', 'Baruch Spinoza', 'Thomas Browne', 'Friedrich Wilhelm Joseph Schelling', 'Emanuel Swedenborg', 'Immanuel Kant', 'John Milton', 'William Shakespeare', 'Robert Burns', 'Algernon Charles Swinburne']",Tiered-Forest,"Samuel Taylor Coleridge was influenced by figures such as Immanuel Kant, William Wordsworth, and the German Idealists.",True
WebQTest-1092,webqsp,test,who did viggo mortensen play in lord of the rings?,"Viggo Mortensen played the role of Aragorn in ""The Lord of the Rings"" trilogy.",['Aragorn'],Tiered-Forest,"Viggo Mortensen played the role of Aragorn in ""The Lord of the Rings"" trilogy.",True
WebQTest-713,webqsp,test,what county is st. louis park in?,"St. Louis Park is in Hennepin County, Minnesota.",['Hennepin County'],Tiered-Forest,"St. Louis Park is in Hennepin County, Minnesota.",True
WebQTest-1637,webqsp,test,what are the catholic holy days?,"Catholic holy days include feast days of the saints, solemnities of Christ and Mary, and other days of special liturgical celebration.","['Feast of St. Margaret of the Árpád House', 'Feast of Our Lady of Hungary', 'Feast of Our Lady of the Rosary', ""Our Lady of Aparecida's day"", 'Father Damien Day', 'Our Lady of Guadalupe Day', 'St. Spiridon Day', ""Saint Nicholas' Eve"", 'Feast of Assumption', ""Euthymius the Great's Feast Day"", 'The Feast of Our Lady of Mount Carmel', ""St. Anthony's Day"", 'Feast of Our Lady of Sorrows', ""St Joseph's Day"", ""Saint Patrick's Day"", 'Maundy Thursday', ""St. Stephen's Day"", 'Corpus Christi', 'Nativity of Mary', 'Olsok', 'Feast of the Immaculate Conception', 'Feast of the Cross', 'Feast of Christ the King', 'Name day', 'Fat Thursday', 'World Day of Peace', 'Palm Sunday', 'Saints Cyril and Methodius Day', 'Solemnity of Mary, Mother of God', 'Feast of Saints Peter and Paul', ""St Crispin's Day"", ""St Casimir's Day"", ""All Saints' Day"", 'Feast of St Francis of Assisi', 'St Nicholas Day']",Tiered-Forest,"Catholic holy days include feast days of the saints, solemnities of Christ and Mary, and other days of special liturgical celebration.",False
WebQTest-1241,webqsp,test,where does the columbia river start?,The Columbia River starts at the confluence of the Columbia River Glacier and the Rock Glacier in Washington.,['Columbia Lake'],Tiered-Forest,The Columbia River starts at the confluence of the Columbia River Glacier and the Rock Glacier in Washington.,False
WebQTest-377,webqsp,test,what school did michael jordan attend?,Michael Jordan attended the University of North Carolina at Chapel Hill.,"['Emsley A. Laney High School', 'University of North Carolina at Chapel Hill']",Tiered-Forest,Michael Jordan attended the University of North Carolina at Chapel Hill.,True
WebQTest-1488,webqsp,test,what type of art does marc chagall do?,"Marc Chagall is known for his distinctive style of figurative paintings, prints, and drawings that blend elements of Cubism, Futurism, and Surrealism with Russian folk culture and Jewish folklore.","['Modern art', 'Fauvism', 'Surrealism', 'Cubism', 'Expressionism']",Tiered-Forest,"Marc Chagall is known for his distinctive style of figurative paintings, prints, and drawings that blend elements of Cubism, Futurism, and Surrealism with Russian folk culture and Jewish folklore.",True
WebQTest-383,webqsp,test,what language do chinese people write in?,"Chinese people primarily write in Chinese characters, using languages like Mandarin, Cantonese, or other Chinese languages.","['Nüshu script', 'Simplified Chinese character', 'Traditional Chinese characters', ""'Phags-pa script"", 'Chinese characters']",Tiered-Forest,"Chinese people primarily write in Chinese characters, using languages like Mandarin, Cantonese, or other Chinese languages.",True
WebQTest-1619,webqsp,test,where do the appalachian mountains run?,The Appalachian mountains run from central Canada south to Alabama and Georgia in the United States.,['North America'],Tiered-Forest,The Appalachian mountains run from central Canada south to Alabama and Georgia in the United States.,False
WebQTest-1508,webqsp,test,when did bill clinton go to college?,"Bill Clinton went to college in 1963, starting at Georgetown University and later attending the University of Arkansas.","['Yale Law School', 'Edmund A. Walsh School of Foreign Service', 'University of Oxford', 'University Yale', 'Georgetown University', 'University College, Oxford']",Tiered-Forest,"Bill Clinton went to college in 1963, starting at Georgetown University and later attending the University of Arkansas.",True
