id,dataset,split,question,prediction,answers,agent,raw_prediction,correct
WebQTest-1198,webqsp,test,who influenced samuel taylor coleridge?,"Samuel Taylor Coleridge was influenced by:

1. **German philosophers and writers**, especially **Immanuel Kant** (transcendental idealism) and **Friedrich Schelling** (nature and the absolute).
2. **Platonist and Neoplatonist** thought, which shaped his ideas on imagination and unity.
3. **The poet William Wordsworth**, through personal collaboration and mutual challenge.
4. **Earlier English poets** like **William Shakespeare** and **John Milton**.
5. **Theological writers**, particularly Unitarian and mystic thinkers.","['Giambattista Vico', 'Baruch Spinoza', 'Thomas Browne', 'Friedrich Wilhelm Joseph Schelling', 'Emanuel Swedenborg', 'Immanuel Kant', 'John Milton', 'William Shakespeare', 'Robert Burns', 'Algernon Charles Swinburne']",Tiered-Forest,"Samuel Taylor Coleridge was influenced by:

1. **German philosophers and writers**, especially **Immanuel Kant** (transcendental idealism) and **Friedrich Schelling** (nature and the absolute).
2. **Platonist and Neoplatonist** thought, which shaped his ideas on imagination and unity.
3. **The poet William Wordsworth**, through personal collaboration and mutual challenge.
4. **Earlier English poets** like **William Shakespeare** and **John Milton**.
5. **Theological writers**, particularly Unitarian and mystic thinkers.",True
WebQTest-1092,webqsp,test,who did viggo mortensen play in lord of the rings?,Viggo Mortensen played **Aragorn** in *The Lord of the Rings* film trilogy.,['Aragorn'],Tiered-Forest,Viggo Mortensen played **Aragorn** in *The Lord of the Rings* film trilogy.,True
WebQTest-713,webqsp,test,what county is st. louis park in?,"St. Louis Park is in Hennepin County, Minnesota.",['Hennepin County'],Tiered-Forest,"St. Louis Park is in Hennepin County, Minnesota.",True
WebQTest-1637,webqsp,test,what are the catholic holy days?,"Catholic holy days include Sundays, the Solemnities of Christmas and Easter, and other feast days of the saints and events in the life of Jesus and Mary.","['Feast of St. Margaret of the Árpád House', 'Feast of Our Lady of Hungary', 'Feast of Our Lady of the Rosary', ""Our Lady of Aparecida's day"", 'Father Damien Day', 'Our Lady of Guadalupe Day', 'St. Spiridon Day', ""Saint Nicholas' Eve"", 'Feast of Assumption', ""Euthymius the Great's Feast Day"", 'The Feast of Our Lady of Mount Carmel', ""St. Anthony's Day"", 'Feast of Our Lady of Sorrows', ""St Joseph's Day"", ""Saint Patrick's Day"", 'Maundy Thursday', ""St. Stephen's Day"", 'Corpus Christi', 'Nativity of Mary', 'Olsok', 'Feast of the Immaculate Conception', 'Feast of the Cross', 'Feast of Christ the King', 'Name day', 'Fat Thursday', 'World Day of Peace', 'Palm Sunday', 'Saints Cyril and Methodius Day', 'Solemnity of Mary, Mother of God', 'Feast of Saints Peter and Paul', ""St Crispin's Day"", ""St Casimir's Day"", ""All Saints' Day"", 'Feast of St Francis of Assisi', 'St Nicholas Day']",Tiered-Forest,"Catholic holy days include Sundays, the Solemnities of Christmas and Easter, and other feast days of the saints and events in the life of Jesus and Mary.",False
WebQTest-1241,webqsp,test,where does the columbia river start?,The Columbia River starts at the confluence of the Columbia River Glacier Creek and the Rock Creek in Washington.,['Columbia Lake'],Tiered-Forest,The Columbia River starts at the confluence of the Columbia River Glacier Creek and the Rock Creek in Washington.,False
WebQTest-377,webqsp,test,what school did michael jordan attend?,Michael Jordan attended the University of North Carolina at Chapel Hill.,"['Emsley A. Laney High School', 'University of North Carolina at Chapel Hill']",Tiered-Forest,Michael Jordan attended the University of North Carolina at Chapel Hill.,True
WebQTest-1488,webqsp,test,what type of art does marc chagall do?,"avant-garde, portrait, landscape painting","['Modern art', 'Fauvism', 'Surrealism', 'Cubism', 'Expressionism']",Tiered-Forest,"avant-garde, portrait, landscape painting",False
WebQTest-383,webqsp,test,what language do chinese people write in?,"Chinese people primarily write in Chinese characters, using languages like Mandarin Chinese, Cantonese, or other Chinese dialects.","['Nüshu script', 'Simplified Chinese character', 'Traditional Chinese characters', ""'Phags-pa script"", 'Chinese characters']",Tiered-Forest,"Chinese people primarily write in Chinese characters, using languages like Mandarin Chinese, Cantonese, or other Chinese dialects.",True
WebQTest-1619,webqsp,test,where do the appalachian mountains run?,The Appalachian mountains run from Newfoundland in Canada south to Alabama in the United States.,['North America'],Tiered-Forest,The Appalachian mountains run from Newfoundland in Canada south to Alabama in the United States.,False
WebQTest-1508,webqsp,test,when did bill clinton go to college?,"Bill Clinton attended Georgetown University from 1964 to 1968, where he earned a Bachelor of Science in Foreign Service. He then attended Oxford University as a Rhodes Scholar from 1968 to 1970, followed by Yale Law School from 1970 to 1973.","['Yale Law School', 'Edmund A. Walsh School of Foreign Service', 'University of Oxford', 'University Yale', 'Georgetown University', 'University College, Oxford']",Tiered-Forest,"Bill Clinton attended Georgetown University from 1964 to 1968, where he earned a Bachelor of Science in Foreign Service. He then attended Oxford University as a Rhodes Scholar from 1968 to 1970, followed by Yale Law School from 1970 to 1973.",True
