id,dataset,split,question,prediction,answers,agent,raw_prediction,correct
WebQTest-1198,webqsp,test,who influenced samuel taylor coleridge?,"Samuel Taylor Coleridge was influenced by figures such as William Wordsworth, Kant, and Rousseau, among others.","['Giambattista Vico', 'Baruch Spinoza', 'Thomas Browne', 'Friedrich Wilhelm Joseph Schelling', 'Emanuel Swedenborg', 'Immanuel Kant', 'John Milton', 'William Shakespeare', 'Robert Burns', 'Algernon Charles Swinburne']",Tiered-Forest,"Samuel Taylor Coleridge was influenced by figures such as William Wordsworth, Kant, and Rousseau, among others.",False
WebQTest-1092,webqsp,test,who did viggo mortensen play in lord of the rings?,"Viggo Mortensen played the role of Aragorn in ""The Lord of the Rings"" trilogy.",['Aragorn'],Tiered-Forest,"Viggo Mortensen played the role of Aragorn in ""The Lord of the Rings"" trilogy.",True
WebQTest-713,webqsp,test,what county is st. louis park in?,"St. Louis Park is in Hennepin County, Minnesota.",['Hennepin County'],Tiered-Forest,"St. Louis Park is in Hennepin County, Minnesota.",True
WebQTest-1637,webqsp,test,what are the catholic holy days?,"Catholic holy days include Sundays, the Feasts of the Lord (such as Christmas and Easter), and the Feasts of the Blessed Virgin Mary and the Saints, as well as certain memorials.","['Feast of St. Margaret of the Árpád House', 'Feast of Our Lady of Hungary', 'Feast of Our Lady of the Rosary', ""Our Lady of Aparecida's day"", 'Father Damien Day', 'Our Lady of Guadalupe Day', 'St. Spiridon Day', ""Saint Nicholas' Eve"", 'Feast of Assumption', ""Euthymius the Great's Feast Day"", 'The Feast of Our Lady of Mount Carmel', ""St. Anthony's Day"", 'Feast of Our Lady of Sorrows', ""St Joseph's Day"", ""Saint Patrick's Day"", 'Maundy Thursday', ""St. Stephen's Day"", 'Corpus Christi', 'Nativity of Mary', 'Olsok', 'Feast of the Immaculate Conception', 'Feast of the Cross', 'Feast of Christ the King', 'Name day', 'Fat Thursday', 'World Day of Peace', 'Palm Sunday', 'Saints Cyril and Methodius Day', 'Solemnity of Mary, Mother of God', 'Feast of Saints Peter and Paul', ""St Crispin's Day"", ""St Casimir's Day"", ""All Saints' Day"", 'Feast of St Francis of Assisi', 'St Nicholas Day']",Tiered-Forest,"Catholic holy days include Sundays, the Feasts of the Lord (such as Christmas and Easter), and the Feasts of the Blessed Virgin Mary and the Saints, as well as certain memorials.",False
WebQTest-1241,webqsp,test,where does the columbia river start?,"The Columbia River starts at the confluence of the Columbia and Lewis Rivers near Moses Lake, Washington.",['Columbia Lake'],Tiered-Forest,"The Columbia River starts at the confluence of the Columbia and Lewis Rivers near Moses Lake, Washington.",False
WebQTest-377,webqsp,test,what school did michael jordan attend?,Michael Jordan attended the University of North Carolina at Chapel Hill.,"['Emsley A. Laney High School', 'University of North Carolina at Chapel Hill']",Tiered-Forest,Michael Jordan attended the University of North Carolina at Chapel Hill.,True
WebQTest-1488,webqsp,test,what type of art does marc chagall do?,"Marc Chagall is known for his distinctive style of expressive figurative paintings, prints, and stained glass, often incorporating Jewish folk life and biblical themes with vibrant colors and dreamlike imagery.","['Modern art', 'Fauvism', 'Surrealism', 'Cubism', 'Expressionism']",Tiered-Forest,"Marc Chagall is known for his distinctive style of expressive figurative paintings, prints, and stained glass, often incorporating Jewish folk life and biblical themes with vibrant colors and dreamlike imagery.",False
WebQTest-383,webqsp,test,what language do chinese people write in?,"Chinese people write in Chinese characters, which can be in various forms of the Chinese script including Traditional and Simplified Chinese.","['Nüshu script', 'Simplified Chinese character', 'Traditional Chinese characters', ""'Phags-pa script"", 'Chinese characters']",Tiered-Forest,"Chinese people write in Chinese characters, which can be in various forms of the Chinese script including Traditional and Simplified Chinese.",True
WebQTest-1619,webqsp,test,where do the appalachian mountains run?,The Appalachian mountains run from central Canada through the eastern United States.,['North America'],Tiered-Forest,The Appalachian mountains run from central Canada through the eastern United States.,False
WebQTest-1508,webqsp,test,when did bill clinton go to college?,"Bill Clinton went to college in 1963, starting at Georgetown University and later attending the University of Arkansas.","['Yale Law School', 'Edmund A. Walsh School of Foreign Service', 'University of Oxford', 'University Yale', 'Georgetown University', 'University College, Oxford']",Tiered-Forest,"Bill Clinton went to college in 1963, starting at Georgetown University and later attending the University of Arkansas.",True
WebQTest-266,webqsp,test,what is there to do for fun in kansas city?,"Kansas City offers a variety of fun activities including visiting the fountains and Power Museum, exploring the National World War I Museum, enjoying the Kansas City Zoo, and attending a game at Arrowhead Stadium.","['Kansas City Zoo', 'Kauffman Center for the Performing Arts', '18th and Vine-Downtown East', 'Kemper Museum of Contemporary Art', 'Liberty Memorial', 'Harry S. Truman Presidential Library and Museum', 'Crown Center', 'Worlds of Fun', 'Sprint Center', 'Negro Leagues Baseball Museum', 'Boulevard Brewing Company', 'Oceans of Fun', 'Hotel Phillips', 'Deer Creek Golf Course', 'Ewing and Muriel Kauffman Memorial Garden']",Tiered-Forest,"Kansas City offers a variety of fun activities including visiting the fountains and Power Museum, exploring the National World War I Museum, enjoying the Kansas City Zoo, and attending a game at Arrowhead Stadium.",True
WebQTest-191,webqsp,test,where did drew brees go to college wikianswers?,"Drew Brees went to college at **Purdue University**, not the University of Southern California.","['Stanford Graduate School of Business', 'Purdue University']",Tiered-Forest,"Drew Brees went to college at **Purdue University**, not the University of Southern California.",True
WebQTest-554,webqsp,test,what money do they use in spain?,"In Spain, the official currency is the Euro (€), with the currency code EUR.",['Euro'],Tiered-Forest,"In Spain, the official currency is the Euro (€), with the currency code EUR.",True
WebQTest-637,webqsp,test,what type of government did soviet union have?,The Soviet Union had a communist government with a socialist economic system.,"['Communist state', 'Socialist state', 'Soviet democracy', 'Parliamentary republic']",Tiered-Forest,The Soviet Union had a communist government with a socialist economic system.,False
WebQTest-875,webqsp,test,where did hugo chavez go to school?,"Hugo Chávez attended the Military Academy of Venezuela (Academia Militar de Venezuela) in Caracas, graduating in 1975. He also later studied for a master's degree in political science at Simón Bolívar University, though he did not complete it.","['Julian Pino School', ""Daniel Florencio O'Leary School"", 'Simón Bolívar University', 'Bolivarian Military University of Venezuela']",Tiered-Forest,"Hugo Chávez attended the Military Academy of Venezuela (Academia Militar de Venezuela) in Caracas, graduating in 1975. He also later studied for a master's degree in political science at Simón Bolívar University, though he did not complete it.",True
WebQTest-438,webqsp,test,what university did romney graduated from?,Mitt Romney graduated from Brigham Young University and Harvard Business School.,['Brigham Young University'],Tiered-Forest,Mitt Romney graduated from Brigham Young University and Harvard Business School.,True
WebQTest-234,webqsp,test,what countries does the panama canal go through?,"The Panama Canal is located entirely within Panama. It does not pass through any other countries.

**Answer:** Panama.",['Panama'],Tiered-Forest,"The Panama Canal is located entirely within Panama. It does not pass through any other countries.

**Answer:** Panama.",True
WebQTest-461,webqsp,test,where did clay matthews go to school?,Clay Matthews went to the University of Oregon for his college education.,"['University of Southern California', 'Agoura High School']",Tiered-Forest,Clay Matthews went to the University of Oregon for his college education.,False
WebQTest-1441,webqsp,test,where all did picasso live?,"Pablo Picasso lived in several cities including Malaga, Barcelona, Paris, and Cannes, among others.","['Málaga', 'Madrid', 'France']",Tiered-Forest,"Pablo Picasso lived in several cities including Malaga, Barcelona, Paris, and Cannes, among others.",False
WebQTest-1622,webqsp,test,what ocean is around hawaii?,The Pacific Ocean surrounds Hawaii.,['Pacific Ocean'],Tiered-Forest,The Pacific Ocean surrounds Hawaii.,True
WebQTest-1757,webqsp,test,what did michael crabtree do?,"Michael Crabtree was an American football wide receiver who played for several NFL teams, including the San Francisco 49ers and the Kansas City Chiefs.","['Wide receiver', 'Athlete', 'American football player']",Tiered-Forest,"Michael Crabtree was an American football wide receiver who played for several NFL teams, including the San Francisco 49ers and the Kansas City Chiefs.",True
WebQTest-1328,webqsp,test,what did hayes do?,"Hayes resolved the contentious 1876 presidential election by agreeing to the Compromise of 1877, which ended Reconstruction in the South in exchange for his inauguration as the 19th President.",['US President'],Tiered-Forest,"Hayes resolved the contentious 1876 presidential election by agreeing to the Compromise of 1877, which ended Reconstruction in the South in exchange for his inauguration as the 19th President.",False
WebQTest-296,webqsp,test,what kind of government does libya have today?,"Libya does not have a single, unified national government. Since 2014, it has been divided between two rival administrations:

1.  The internationally recognized **Government of National Unity (GNU)**, based in Tripoli, led by Prime Minister Abdul Hamid Dbeibah.
2.  The rival **Government of National Stability (GNS)**, based in the east and backed by the House of Representatives and Khalifa Haftar's Libyan National Army.

A **Presidential Council** is intended to act as a head of state, but its authority is contested. In practice, real power is fragmented among these competing governments, numerous militias, and local authorities.

**Concise answer:** Libya is currently divided between two rival, weak administrations in a state of protracted political conflict, with no single, effective central government controlling the entire country.","['Provisional government', 'Parliamentary republic']",Tiered-Forest,"Libya does not have a single, unified national government. Since 2014, it has been divided between two rival administrations:

1.  The internationally recognized **Government of National Unity (GNU)**, based in Tripoli, led by Prime Minister Abdul Hamid Dbeibah.
2.  The rival **Government of National Stability (GNS)**, based in the east and backed by the House of Representatives and Khalifa Haftar's Libyan National Army.

A **Presidential Council** is intended to act as a head of state, but its authority is contested. In practice, real power is fragmented among these competing governments, numerous militias, and local authorities.

**Concise answer:** Libya is currently divided between two rival, weak administrations in a state of protracted political conflict, with no single, effective central government controlling the entire country.",False
WebQTest-527,webqsp,test,what country borders slovakia?,"Slovakia borders Poland, Ukraine, Hungary, Austria, and the Czech Republic.","['Czech Republic', 'Hungary', 'Poland', 'Ukraine', 'Austria']",Tiered-Forest,"Slovakia borders Poland, Ukraine, Hungary, Austria, and the Czech Republic.",True
WebQTest-2001,webqsp,test,who won the 2000 fa cup final?,Manchester United won the 2000 FA Cup final by defeating Liverpool 2-1.,['Chelsea F.C.'],Tiered-Forest,Manchester United won the 2000 FA Cup final by defeating Liverpool 2-1.,False
WebQTest-1997,webqsp,test,who does owen schmitt play for?,Owen Schmitt plays for the Seattle Seahawks.,['Seattle Seahawks'],Tiered-Forest,Owen Schmitt plays for the Seattle Seahawks.,True
WebQTest-1848,webqsp,test,what instrument does louis armstrong?,Louis Armstrong played the trumpet.,"['Cornet', 'Trumpet']",Tiered-Forest,Louis Armstrong played the trumpet.,True
WebQTest-482,webqsp,test,who plays blaine in batman?,"Blaine, also known as the Riddler, is played by Cesar Romero in the Batman television series from the 1960s.","['Matthew Wagner', 'Danny Trejo', 'Carlos Alazraqui', 'Tom Hardy']",Tiered-Forest,"Blaine, also known as the Riddler, is played by Cesar Romero in the Batman television series from the 1960s.",False
WebQTest-1780,webqsp,test,who does michael oher play for in 2010?,"In 2010, Michael Oher played for the Tennessee Titans.",['Baltimore Ravens'],Tiered-Forest,"In 2010, Michael Oher played for the Tennessee Titans.",False
WebQTest-504,webqsp,test,who was philip in acts chapter 8?,Philip in Acts chapter 8 was an early Christian evangelist who baptized the Ethiopian eunuch.,['Apostle Philip'],Tiered-Forest,Philip in Acts chapter 8 was an early Christian evangelist who baptized the Ethiopian eunuch.,False
WebQTest-410,webqsp,test,what are the major cities in ukraine?,"The major cities in Ukraine include Kyiv (the capital), Kharkiv, Donetsk, Odesa, and Dnipropetrovsk.",['Kiev'],Tiered-Forest,"The major cities in Ukraine include Kyiv (the capital), Kharkiv, Donetsk, Odesa, and Dnipropetrovsk.",False
WebQTest-2005,webqsp,test,who plays bob kelso in scrubs?,Bob Kelso is played by John C. McGinley in the TV show Scrubs.,['Ken Jenkins'],Tiered-Forest,Bob Kelso is played by John C. McGinley in the TV show Scrubs.,False
WebQTest-1894,webqsp,test,what baseball team was jackie robinson on?,Jackie Robinson played for the Brooklyn Dodgers.,"['Kansas City Monarchs', 'Montreal Royals', 'Brooklyn Dodgers']",Tiered-Forest,Jackie Robinson played for the Brooklyn Dodgers.,True
