tau_high,tau_low,accuracy,total_tokens,cost_usd,latency,fast_pass_rate,escalate_rate,tier1_hit_rate,dataset
0.7,0.2,0.0,1297,0.0002594,2.116093333562215,1.0,0.0,0.0,MetaQA
0.8,0.2,0.0,1242,0.0002484,0.8602058410644531,1.0,0.0,0.0,MetaQA
0.85,0.2,0.0,1456,0.0002912,1.023154576619466,1.0,0.0,0.0,MetaQA
0.9,0.2,0.0,1237,0.0002474,1.1446115652720132,1.0,0.0,0.0,MetaQA
0.7,0.2,0.4,1286,0.0018478,4.4314741611480715,0.9333333333333333,0.06666666666666667,0.0,WebQSP
0.8,0.2,0.4666666666666667,1190,0.0018286000000000003,1.4491334120432535,0.9333333333333333,0.06666666666666667,0.0,WebQSP
0.85,0.2,0.4666666666666667,1564,0.0034975999999999996,1.8278766791025798,0.8666666666666667,0.13333333333333333,0.0,WebQSP
0.9,0.2,0.6,1244,0.001843,1.244890022277832,0.9333333333333333,0.06666666666666667,0.0,WebQSP
0.7,0.2,0.2,1848,0.0003696,3.3117432753245035,0.9333333333333333,0.0,0.06666666666666667,Logistics
0.8,0.2,0.13333333333333333,1713,0.0003426000000000001,1.01151655515035,0.9333333333333333,0.0,0.06666666666666667,Logistics
0.85,0.2,0.2,1854,0.0003708,0.8821979204813639,0.9333333333333333,0.0,0.06666666666666667,Logistics
0.9,0.2,0.2,1754,0.00035080000000000007,0.8354958375295003,0.9333333333333333,0.0,0.06666666666666667,Logistics
